Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Ґерус;Лілія;Андріївна;Ж;1976-12-25;Біолог; Бобровиця;узвіз Верещагіна, буд. 50, Бобровиця, 12226;375 55 63;kostiantyn89@example.org
Бевз;Дарина;Олександрівна;Ж;1942-11-14;Петрограф; Христинівка;шосе Юрженка Олександра, буд. 7 кв. 5, Христинівка, 51080;044 787 92 34;valeriishvaika@example.net
Тягнибок;Любов;Аркадіївна;Ж;1966-10-31;Психолог; Привілля;набережна 2-га Суворовська, буд. 70, Привілля, 81052;+380 41 304 32 90;andriiovychboryslav@example.org
Арсенич;Мирон;Дмитрович;Ч;1988-10-19;Секретар; Ічня;вулиця Прорізна, буд. 69 кв. 951, Ічня, 53183;065 654 84 94;erikaarkhymovych@example.net
Рак;Юхим;Дмитрович;Ч;1972-12-04;Редактор; Рівне;шосе Проточний, буд. 652, Рівне, 55549;076 138-64-41;rkhomyk@example.com
Корбут;Олена;Василівна;Ж;1991-09-10;Історик; Кривий Ріг;площа Гвоздичний, буд. 763, Кривий Ріг, 98305;+380 89 770-71-05;oleh81@example.org
Бабій;Розалія;Георгіївна;Ж;1978-07-12;Агроном; Новодністровськ;парк Тургенєва, буд. 5 кв. 55, Новодністровськ, 81459;031 966 90 62;kyrylo99@example.net
Савенко;Василь;Васильович;Ч;1992-12-31;Диригент; Сміла;набережна Черепанових 2-й, буд. 5, Сміла, 15601;+380 83 518 86 75;alevtynshamrai@example.net
Вітер;Роксолана;Кузьмівна;Ж;1979-10-28;Археолог; Миколаїв;вулиця Китобійний 2-й, буд. 1 кв. 95, Миколаїв, 90748;+380 (26) 109-01-84;onysym22@example.com
Якимчук;Клавдія;Сергіївна;Ж;1951-02-16;Ботанік; Семенівка;проспект Восьмого Березня Лінія 1-ша, буд. 341 кв. 6, Семенівка, 01884;042 510-78-18;artymovychmariia@example.com
Романенко;Святослава;Євгенівна;Ж;1992-01-22;Кінорежисер; Вишгород;провулок Ольгіївський узвіз, буд. 088, Вишгород, 32680;+380 (14) 301-23-10;irena10@example.com
Худяк;Наталія;Василівна;Ж;1984-05-12;Музикант; Устилуг;площа Макаренка, буд. 1 кв. 5, Устилуг, 13067;+380 (31) 293-55-74;irynazubko@example.org
Журавель;Тереза;Кузьмівна;Ж;1987-06-24;Географ; Нікополь;парк Дніпропетровська дорога, буд. 5, Нікополь, 06317;389 81 53;parmenhrytsenko@example.org
Верховинець;Мирон;Анатолійович;Ч;1940-12-03;Астроном; Вуглегірськ;площа Дем’янова, буд. 358 кв. 565, Вуглегірськ, 94913;+380 70 889-62-25;khomyklukian@example.net
Прокопович;Пріска;Андріївна;Ж;1939-10-25;Паблік рилейшнз; Суходільськ;проспект Данькевича, буд. 468, Суходільськ, 08257;+380 (17) 771-15-99;valerii59@example.net
Чумаченко;Станіслав;Аркадійович;Ч;2002-07-21;Музикознавець; Погребище;провулок Миколи Плигуна, буд. 645 кв. 88, Погребище, 81404;211-36-99;havrylivhryhorii@example.org
Тесленко;Степан;Михайлович;Ч;1986-02-17;Льотчик; Сватове;парк Заводська 1-ша, буд. 28 кв. 71, Сватове, 43187;033 497-12-37;konopliaonysym@example.com
Артимишин;Веніямин;Олександрович;Ч;1941-04-09;Випробувач; Родинське;площа Мигдальна, буд. 15, Родинське, 60178;269-70-52;orkhyp06@example.org
Верхола;Августин;Петрович;Ч;1971-10-19;Реставратор; Лохвиця;сквер Дальня, буд. 322, Лохвиця, 66143;+380 (46) 232-43-21;hlemeshko@example.com
Яремчук;Федір;Федорович;Ч;1972-06-10;Машиніст; Хмільник;проспект Докова, буд. 358 кв. 48, Хмільник, 27860;440-12-86;tartymyshyn@example.com
Ващук;Вʼячеслав;Михайлович;Ч;1966-12-08;Сценарист; Пустомити;узвіз Куликове поле, буд. 1, Пустомити, 65284;+380 (39) 739-53-39;iosypvitruk@example.org
Рубан;Пармен;Сергійович;Ч;1956-05-21;Дантист; Винники;вулиця Івасюка Володимира, буд. 6 кв. 47, Винники, 16147;027 654-32-25;kamillamatiash@example.com
Василечко;Марʼяна;Георгіївна;Ж;1995-07-06;Клавішник; Ічня;площа Коцюбинського, буд. 16 кв. 491, Ічня, 94769;830-03-37;snizhanashukhevych@example.net
Гаврилюк;Юстим;Олександрович;Ч;1981-03-29;Драматург; Перемишляни;вулиця Горбиста, буд. 3, Перемишляни, 55735;013 842 39 56;anzhela99@example.com
Іващенко;Ада;Федорівна;Ж;1946-04-25;Пекар; Теплодар;набережна Митна, буд. 9 кв. 53, Теплодар, 24931;702 38 60;venhrynovychserhii@example.org
Дрозденко;Пилип;Аркадійович;Ч;1947-12-08;Доцент; Каховка;сквер Стражеска Миколи, буд. 84, Каховка, 91661;+380 73 251 86 10;nderevianko@example.net
Ільченко;Симон;Іванович;Ч;1958-09-02;Кухар; Енергодар;проспект 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 2, Енергодар, 21841;316 33 34;huzsolomiia@example.net
Шутько;Омелян;Тимофійович;Ч;1957-07-05;Локсмайстер; Хоростків;сквер Кордонна, буд. 617 кв. 6, Хоростків, 22758;+380 (83) 215-56-84;ieremenkomykyta@example.org
Девдюк;Богданна;Олександрівна;Ж;1992-07-07;Провізор; Радивилів;набережна Данила Крижанівського, буд. 872 кв. 46, Радивилів, 30653;072 284 49 50;jiarema@example.org
Юрчук;Прохір;Аркадійович;Ч;1993-01-31;Астрофізик; Голубівка;проспект Озерна, буд. 4 кв. 772, Голубівка, 84079;+380 02 367-39-64;orynahaievskyi@example.com
Артимович;Оксенія;Георгіївна;Ж;1957-02-22;Гицель; Родинське;площа 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 418 кв. 7, Родинське, 60407;+380 44 021-99-04;izhakliza@example.net
Товстуха;Володимир;Володимирович;Ч;1941-06-09;Фольклорист; Заставна;провулок 1-й Академічний тупик, буд. 67 кв. 82, Заставна, 21166;788-19-01;stanislavdrobiazko@example.net
Баран;Геннадій;Олександрович;Ч;1974-08-17;Фармацевт; Білогірськ;сквер Наявний 5-й, буд. 97, Білогірськ, 75077;088 655-36-45;veniiamynzasenko@example.com
Затула;Леопольд;Дмитрович;Ч;1941-09-23;Флорист; Бобровиця;вулиця Овідіопольська, буд. 3 кв. 47, Бобровиця, 71521;097 542-86-65;alinaiatseniuk@example.com
Онуфрієнко;Ольга;Сергіївна;Ж;1968-09-24;Маркетолог; Сніжне;вулиця Нафтовиків 2-й, буд. 0 кв. 0, Сніжне, 45723;+380 50 797 15 34;nzhaivoron@example.org
Єрьоменко;Оксенія;Тимофіївна;Ж;1989-03-29;Електрослюсар; Перечин;набережна Кедровий, буд. 517, Перечин, 74616;087 539-48-85;volodymyr28@example.org
Романенко;Соломія;Аркадіївна;Ж;1941-06-12;Астрофізик; Буськ;сквер Воронезька, буд. 1, Буськ, 21458;+380 22 577-93-05;iaremkozlatoslava@example.com
Деряжний;Руслан;Юрійович;Ч;2000-04-17;Менеджер; Іллінці;проспект Іспанський, буд. 4, Іллінці, 89706;044 126 95 07;artympylyp@example.org
Баклан;Олена;Юріївна;Ж;1984-07-07;Шериф; Ладижин;провулок 1-ша Суворовська, буд. 0 кв. 26, Ладижин, 01344;959 01 41;yorlyk@example.net
Сіробаба;Станіслав;Євгенович;Ч;1979-09-08;Зоолог; Буськ;провулок Кавунова, буд. 295 кв. 9, Буськ, 43945;+380 54 716 95 54;valentynzatula@example.org
Удовиченко;Віталій;Вікторович;Ч;1998-08-06;Режисер; Покров;парк Кифоренка Бориса, буд. 4 кв. 77, Покров, 19469;184-10-00;lchervonenko@example.com
Іващенко;Антон;Іванович;Ч;1964-12-21;Палеонтолог; Синельникове;вулиця Басейний 6-й, буд. 608, Синельникове, 88656;+380 84 247 86 29;bohuslav48@example.com
Яценко;Ярина;Борисівна;Ж;2000-04-16;Біолог; Вінниця;узвіз Деревообробний 1-й, буд. 844 кв. 771, Вінниця, 02034;+380 77 023 88 06;priskaveres@example.com
Ґоляш;Валерій;Борисович;Ч;1985-12-25;Співак; Жовква;сквер Мала Садова, буд. 30 кв. 90, Жовква, 50489;+380 08 694 26 79;hanna25@example.com
Кальченко;Охрім;Євгенович;Ч;1967-12-30;Складальник; Зугрес;шосе Педагогічний, буд. 9, Зугрес, 14208;+380 29 841-04-08;nataliiareva@example.org
Онищенко;Пріска;Ярославівна;Ж;1969-03-03;Дантист; Родинське;площа Новикова, буд. 5 кв. 844, Родинське, 19061;039 916-81-98;stanislavdankevych@example.org
Акуленко;Златослава;Володимирівна;Ж;1944-08-22;Бібліограф; Василівка ;узвіз Шовкуненка, буд. 69 кв. 0, Василівка , 31708;+380 33 998-08-43;orysia10@example.org
Джунь;Пантелеймон;Анатолійович;Ч;2000-08-30;Юрист; Тисмениця;сквер Рибальська балка, буд. 1, Тисмениця, 95236;+380 49 411-57-02;tzatula@example.com
Ємельяненко;Гліб;Володимирович;Ч;1979-04-16;Фрілансер; Нова Каховка;набережна Трамвайна, буд. 658, Нова Каховка, 94615;501 89 84;teslenkooryna@example.com
Швайка;Іван;Аркадійович;Ч;1992-11-14;Державний службовець; Камінь-Каширський;площа Вчительська, буд. 381, Камінь-Каширський, 45999;+380 38 458-08-93;opanasrudko@example.com
Харченко;Тетяна;Сергіївна;Ж;2007-02-01;Акушер; Долинська;площа Студена, буд. 98, Долинська, 05614;+380 92 329-65-02;symon92@example.com
Арсенич;Амвросій;Федорович;Ч;2007-02-14;Редактор; Українка ;парк Чорноморський 9-й, буд. 509, Українка , 57236;+380 80 415-62-84;rostyslaviarema@example.org
Власюк;Геннадій;Анатолійович;Ч;1940-04-21;Мінералог; П'ятихатки;набережна Дачний 2-й, буд. 084 кв. 660, П'ятихатки, 37382;+380 (73) 640-75-35;vysochanielysaveta@example.org
Гайдай;Володимира;Володимирівна;Ж;1977-12-05;Реставратор; Буча;провулок Агрономічна, буд. 791 кв. 2, Буча, 99846;054 891 82 25;arsenychkostiantyn@example.net
Скорик;Ярема;Георгійович;Ч;2003-06-06;Бізнесмен; Ровеньки;шосе Миколаївська дорога, буд. 761 кв. 275, Ровеньки, 94899;+380 71 952 27 68;hbaklan@example.com
Адаменко;Лесь;Федорович;Ч;1963-04-03;Ботанік; Калинівка ;сквер Спиридонівська, буд. 73, Калинівка , 99619;909-49-05;khoma67@example.com
Сімашкевич;Геннадій;Георгійович;Ч;1997-11-05;Геофізик; Могилів-Подільський;шосе Дальницьке, буд. 5, Могилів-Подільський, 42335;+380 46 964-69-47;rostyslavsaienko@example.com
Тесля;Максим;Володимирович;Ч;1961-05-06;Стропальник; Львів;проспект Карантинний узвіз, буд. 8, Львів, 18799;+380 53 170 04 36;dmytrotkachenko@example.net
Лукаш;Макар;Кузьмич;Ч;1960-07-31;Фермер; Куп'янськ;площа Лиманчик 2-й Лінія 4-та, буд. 897, Куп'янськ, 25305;666 65 41;babakandrii@example.org
Швайка;Святослава;Федорівна;Ж;1986-10-12;Електрик; Заставна;провулок Трамвайна, буд. 81 кв. 8, Заставна, 60616;999 80 45;xiaremko@example.com
Короленко;Віра;Михайлівна;Ж;1963-05-15;Епідеміолог; Бердянськ;набережна Середньофонтанський, буд. 737, Бердянськ, 89444;+380 88 592-74-19;leonidarkhypenko@example.com
Авраменко;Орина;Андріївна;Ж;1974-04-01;Штукатур; Бучач;площа Десята, буд. 6 кв. 6, Бучач, 47351;725-81-95;szakharenko@example.net
Базилевич;Геннадій;Олександрович;Ч;1949-06-01;Композитор; Південне ;шосе 7-ма Суворовська, буд. 601 кв. 8, Південне , 70828;394-23-53;olhaadamenko@example.org
Луценко;Петро;Євгенович;Ч;2005-07-20;Детектив; Українка ;набережна Депутатський, буд. 5 кв. 277, Українка , 48056;038 47 84;pelekhalina@example.com
Колесниченко;Євген;Андрійович;Ч;2008-01-04;Архітектор; Ходорів;провулок Дукова, буд. 37, Ходорів, 77267;+380 (85) 191-52-96;vadym01@example.com
Вівчаренко;Аарон;Георгійович;Ч;1988-08-09;Машиніст; Винники;парк Пугачова, буд. 296 кв. 09, Винники, 97290;+380 (49) 218-75-95;asaulavenedykt@example.org
Асаула;Семен;Кузьмич;Ч;1952-11-06;Перекладач; Ковель;площа Лиманчик 2-й Лінія 11-та, буд. 26 кв. 5, Ковель, 87182;242 76 98;odarkasvystun@example.com
Яременко;Йосип;Аркадійович;Ч;1945-06-11;Економіст; Мена ;сквер Дем’янова, буд. 3, Мена , 03701;+380 19 095-82-30;adanosachenko@example.net
Тимчук;Валерій;Петрович;Ч;1992-12-16;Перекладач; Тальне;вулиця Спаський, буд. 86, Тальне, 59145;051 869-93-44;usemenchenko@example.org
Рудик;Онисим;Георгійович;Ч;1945-12-07;Психолог; Підгайці;сквер Єнісейська, буд. 4 кв. 2, Підгайці, 77156;060 987-53-22;boleslavdemydenko@example.net
Засенко;Мирослав;Анатолійович;Ч;1955-12-08;Паралегал; Заліщики;вулиця Бессарабська, буд. 45, Заліщики, 15827;301 64 37;medvedenkobohuslava@example.net
Верменич;Болеслав;Ярославович;Ч;1943-02-28;Кінолог; Харцизьк;площа Самодіяльна, буд. 3, Харцизьк, 15449;648-09-25;vasylenkomarusia@example.org
Щербак;Захар;Ярославович;Ч;2005-08-15;Клоун; Червоноград;набережна Героїв прикордонників, буд. 66 кв. 869, Червоноград, 41644;684-86-26;bashpolchenkozynovii@example.com
Приходько;Вікторія;Георгіївна;Ж;1996-07-11;Піаніст; Слов'янськ;площа Суперфосфатна, буд. 069, Слов'янськ, 03154;+380 04 392-04-86;rebrykalina@example.net
Барабаш;Іван;Сергійович;Ч;1998-05-08;Драматург; Ізяслав;шосе Героїв Крут, буд. 4, Ізяслав, 53708;353-60-02;andriisvyrydenko@example.org
Носенко;Сергій;Васильович;Ч;1959-09-25;Кіноактор; Селидове;парк Липнева, буд. 5, Селидове, 31972;+380 (13) 577-88-76;ostap06@example.org
Хмара;Едита;Євгенівна;Ж;2006-09-27;Гицель; Кипуче;набережна Льва Толстого, буд. 333 кв. 093, Кипуче, 13373;+380 30 607-84-00;emishchenko@example.com
Базилевич;Павло;Васильович;Ч;1966-02-23;Промисловець; Калинівка ;набережна Басейний 2-й, буд. 35 кв. 7, Калинівка , 01139;+380 11 006 76 97;lemeshkofeofan@example.net
Зарудний;Владислав;Іванович;Ч;1976-12-17;Локсмайстер; Копичинці;узвіз Мацієвської, буд. 64 кв. 485, Копичинці, 54030;+380 15 537-07-08;dvelychko@example.net
Пелех;Франц;Андрійович;Ч;1955-03-11;Краєзнавець; Валки ;узвіз Кострова, буд. 8 кв. 2, Валки , 90456;026 952 81 82;orest65@example.net
Палій;Герман;Борисович;Ч;1949-12-08;Слідчий; Городня;провулок Пісочна, буд. 529 кв. 559, Городня, 67287;+380 20 461-05-40;shcherbananton@example.org
Шевченко;Теодор;Тимофійович;Ч;2001-11-02;Астроном; Зборів;набережна Утьосова, буд. 28 кв. 5, Зборів, 75366;+380 (81) 277-83-31;bairakhanna@example.org
Гоголь-Яновський;Семен;Кузьмич;Ч;1966-05-26;Диригент; Новоукраїнка;узвіз Преображенська, буд. 8, Новоукраїнка, 91622;+380 56 570 81 10;wbabarychenko@example.com
Аронець;Богодар;Аркадійович;Ч;1948-07-01;Живописець; Боково-Хрустальне;шосе Баркасний, буд. 025, Боково-Хрустальне, 23320;+380 46 630 32 07;shvaikaroksolana@example.net
Бабійчук;Святослав;Тимофійович;Ч;1956-05-03;Флорист; Старий Крим;узвіз Глазунова 2-й, буд. 703, Старий Крим, 31001;+380 38 497-31-16;dupliimariia@example.com
Негода;Віктор;Володимирович;Ч;1969-08-02;Паралегал; Шпола;провулок Дунаєва, буд. 940, Шпола, 89929;097 997 49 46;bohuslava34@example.net
Дзиндра;Захар;Вікторович;Ч;1976-06-26;Музикант; Алупка;шосе Черепанових 2-й, буд. 4 кв. 606, Алупка, 91238;+380 (21) 269-36-21;randriienko@example.net
Бандурка;Феофан;Петрович;Ч;1974-04-21;Ювелір; Сєвєродонецьк;проспект Наявний 1-й, буд. 3 кв. 9, Сєвєродонецьк, 23751;+380 10 525 54 44;alina76@example.org
Чаленко;Віктор;Володимирович;Ч;1964-03-08;Музикант; Попасна;проспект Заводська 4-та, буд. 38 кв. 86, Попасна, 15915;455 66 60;mykhailychenkoonysym@example.net
Швачка;Августин;Євгенович;Ч;1961-12-12;Етнограф; Рогатин;сквер Тополиний, буд. 446, Рогатин, 42531;+380 20 586-54-43;nestorpalii@example.org
Петлюра;Варвара;Іванівна;Ж;1945-08-28;Астроном; Тиврів;набережна Вапняний 3-й, буд. 2, Тиврів, 89011;383 67 12;virasatsiuk@example.net
Ґереґа;Соломія;Андріївна;Ж;1975-02-15;Ді-джей; Привілля;провулок Новоселів, буд. 61 кв. 7, Привілля, 99068;+380 42 252-41-09;babenkoteodor@example.com
Зінченко;Еріка;Євгенівна;Ж;1958-10-21;Ботанік; Ланівці;шосе Демократична, буд. 7, Ланівці, 94849;+380 66 397-99-60;arkadiiudovychenko@example.net
Ковалюк;Алла;Федорівна;Ж;1968-07-30;Піаніст; Нововолинськ;шосе Глазунова 2-й, буд. 93 кв. 563, Нововолинськ, 68424;+380 98 509 30 78;mvelychko@example.com
Овсієнко;Тереза;Петрівна;Ж;1977-02-13;Співак; Ворожба;узвіз Альпіністів, буд. 87 кв. 49, Ворожба, 36508;651-16-04;adammykhailiuk@example.org
Даньків;Тимофій;Георгійович;Ч;1999-12-25;Географ; Карлівка;провулок Шоста, буд. 290 кв. 403, Карлівка, 64812;+380 75 663-24-43;shapovalmarta@example.org
Данько;Олесь;Дмитрович;Ч;1957-07-31;Бухгалтер; Липовець;провулок Задніпровського, буд. 8 кв. 32, Липовець, 11354;065 362-81-43;illiaaleksandrenko@example.net
Гаврилишин;Ірина;Вікторівна;Ж;1998-01-10;Ді-джей; Кропивницький;провулок Дунаєва, буд. 8, Кропивницький, 17380;+380 57 232 63 35;valerii63@example.net
Бандурка;Марта;Євгенівна;Ж;1985-07-22;Клавішник; Хотин;проспект Літня, буд. 371 кв. 1, Хотин, 50056;067 028 32 71;ozabarnyi@example.com
Власюк;Мирон;Кузьмич;Ч;1967-02-23;Дантист; Рені;шосе Недєліна, буд. 7 кв. 00, Рені, 63603;+380 (55) 442-01-51;artemenkodavyd@example.net
Адаменко;Златослава;Дмитрівна;Ж;2005-08-28;Реставратор; Зміїв;сквер Михайла Божія, буд. 059, Зміїв, 93569;+380 24 765-01-06;pzhuk@example.net
Усик;Надія;Петрівна;Ж;1982-04-23;Письменник; Заставна;площа Дальня, буд. 76, Заставна, 84234;411-88-45;deinekadavyd@example.com
Чорновіл;Марія;Андріївна;Ж;1941-08-23;Зоолог; Рахів;набережна 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 36, Рахів, 07013;+380 11 102-66-48;martyn19@example.org
Козаченко;Ярослав;Вікторович;Ч;1991-10-01;Ґрунтознавець; Олександрія;парк Рожева, буд. 411 кв. 22, Олександрія, 23117;+380 (47) 580-75-83;nadiia53@example.com
Колодуб;Ярослава;Сергіївна;Ж;2000-08-21;Філолог; Гола Пристань;вулиця Заводська 4-та, буд. 39 кв. 11, Гола Пристань, 71378;+380 (31) 737-86-39;kiatsenko@example.net
Даценко;Руслан;Ярославович;Ч;1987-04-07;Євнух; Бобровиця;сквер Інглезі, буд. 130, Бобровиця, 63076;687-53-08;bstus@example.org
Андрощук;Тимофій;Васильович;Ч;1988-08-20;Редактор; Лозова ;сквер Хаджибейський 2-й, буд. 8 кв. 29, Лозова , 09135;+380 32 670-41-54;korbutbohuslav@example.net
Килимник;Ганна;Петрівна;Ж;1962-09-14;Кушнір; Новий Буг;узвіз 19-та Лінія, буд. 8 кв. 9, Новий Буг, 06541;+380 65 056-48-43;kkarpenko@example.com
Пушкар;Мирон;Вікторович;Ч;2006-06-28;Кушнір; Дружба ;площа Водний, буд. 198, Дружба , 87533;+380 (34) 807-03-64;orkhypstelmakh@example.org
Рубан;Євген;Аркадійович;Ч;1998-11-09;Мовознавець; Ірпінь;парк Віри Холодної, буд. 6 кв. 9, Ірпінь, 06705;070 108 84 92;lessemenchenko@example.net
Демиденко;Лілія;Андріївна;Ж;1939-05-09;Публіцист; Снігурівка;шосе Безіменний, буд. 5, Снігурівка, 30858;+380 05 580-86-65;solomonkyrylenko@example.com
Дробʼязко;Орися;Аркадіївна;Ж;1995-01-05;Ботанік; Вараш;вулиця Ланжерон, буд. 640 кв. 766, Вараш, 34720;+380 (23) 220-46-93;hlibzakharchenko@example.com
Зінчук;Богдан;Андрійович;Ч;1963-11-10;Льотчик; Снігурівка;набережна Нежданової, буд. 0 кв. 79, Снігурівка, 24142;+380 (54) 250-98-09;boryslavdashenko@example.org
Перепелиця;Амвросій;Іванович;Ч;1954-11-20;Машиніст; Заставна;парк Павлодарська, буд. 75 кв. 5, Заставна, 88042;061 879-38-17;pavlohuzii@example.net
Ляшко;Богуслав;Вікторович;Ч;1946-01-06;Гірник; Вільногірськ;провулок Онілової, буд. 06, Вільногірськ, 39274;089 462 34 72;bazhazha@example.net
Бевзенко;Омелян;Євгенович;Ч;1939-08-17;Стиліст; Новомиргород;шосе Сінна, буд. 4 кв. 28, Новомиргород, 92002;351 74 76;riabetsamvrosii@example.org
Шаповал;Олесь;Васильович;Ч;1966-08-05;Краєзнавець; Карлівка;набережна Кришталевий, буд. 48, Карлівка, 12048;+380 04 581 96 56;valerii17@example.com
Гузь;Віталій;Вікторович;Ч;1986-01-19;Сантехнік; Василівка ;набережна Новощіпний ряд, буд. 44, Василівка , 06228;+380 29 070-49-50;danna91@example.com
Голобородько;Одарка;Володимирівна;Ж;1953-06-21;Палеонтолог; Жмеринка;вулиця Мічманський 2-й, буд. 264 кв. 1, Жмеринка, 46141;+380 98 046-41-16;barannykvolodymyr@example.net
Якимчук;Ольга;Тимофіївна;Ж;1957-05-16;Кур'єр; Переяслав;сквер Гранатна, буд. 995 кв. 10, Переяслав, 32362;+380 07 617-31-12;yiurchuk@example.net
Парасюк;Франц;Кузьмич;Ч;1965-10-11;Паралегал; Зіньків;провулок Спортивна, буд. 45, Зіньків, 02423;+380 13 988-81-31;ffareniuk@example.org
Ісаєвич;Онисим;Кузьмич;Ч;1993-07-28;Ріелтор; Нова Одеса;сквер Маячний, буд. 55 кв. 6, Нова Одеса, 47261;053 614 81 18;rkovpak@example.net
Гайда;Олександр;Сергійович;Ч;1995-02-03;Астрофізик; Чорнобиль;сквер Новоукраїнський, буд. 39 кв. 03, Чорнобиль, 29132;+380 (34) 689-56-43;nazar33@example.org
Тесля;Тетяна;Тимофіївна;Ж;1965-12-16;Електромонтер; Красногорівка;вулиця Вертелецького, буд. 98 кв. 43, Красногорівка, 91332;+380 23 739-12-06;iaroslavashcherbak@example.net
Гриценко;Оксенія;Тимофіївна;Ж;1990-05-26;Круп'є; Мена ;сквер Композитора Глинки, буд. 242, Мена , 88252;446-04-35;leopoldpetliura@example.com
